0	0.0297786	0.0294498	0.0325621	0.0294458	0.0284173	0.0274105	0.0310976	0.0290902	0.0285587	0.0273065	0.0250959
0.01	0.0301595	0.0280142	0.0318281	0.0273985	0.030536	0.0305241	0.0280997	0.0271935	0.0294351	0.0276558	0.026355
0.02	0.0287647	0.0294467	0.0272193	0.0317735	0.0282664	0.0276204	0.030264	0.0305322	0.0283919	0.0259522	0.0274645
0.03	0.0287546	0.0304921	0.0281042	0.0294822	0.0264402	0.0297626	0.0285189	0.0276843	0.0285963	0.0262369	0.0246084
0.04	0.0283147	0.0268895	0.0282959	0.0297806	0.0258226	0.0285375	0.0262466	0.0267987	0.0288524	0.0298631	0.0250959
0.05	0.0294832	0.0257141	0.0314432	0.0279026	0.0269987	0.0285751	0.0286337	0.0285463	0.0293348	0.0285985	0.026355
0.06	0.0286482	0.0289163	0.0287956	0.0280237	0.026861	0.0243532	0.0288949	0.0279243	0.0283225	0.0278751	0.0274645
0.07	0.0276682	0.0270227	0.0253835	0.0257641	0.0279401	0.0266924	0.0276236	0.0257537	0.0266236	0.0298082	0.0246084
0.08	0.0279573	0.0276611	0.0263239	0.0257572	0.0264204	0.0279225	0.0276866	0.0260349	0.0278079	0.0285688	0.024701
0.09	0.0266608	0.0266826	0.0254975	0.025972	0.0288266	0.026746	0.025592	0.026705	0.0264444	0.0303957	0.026025
0.1	0.029013	0.0273977	0.0292835	0.0285495	0.0274527	0.0273992	0.0274151	0.0263747	0.0280912	0.0279493	0.0257086
0.11	0.0273686	0.0255526	0.025752	0.0264372	0.0253152	0.0264881	0.0257573	0.0280248	0.0258354	0.0274947	0.026025
0.12	0.0271707	0.0262074	0.0244025	0.0281975	0.0258783	0.0255754	0.0258228	0.0273327	0.0279276	0.0281114	0.0257086
0.13	0.0272869	0.0264	0.0249086	0.0269591	0.0256239	0.0275197	0.0263608	0.0280683	0.0291216	0.0264782	0.0250959
0.14	0.0271212	0.0264301	0.0291694	0.0283481	0.034284	0.0304178	0.0300578	0.0301147	0.0261438	0.0306493	0.026355
0.15	0.0293752	0.0310582	0.028753	0.0267134	0.0283847	0.0277464	0.0272517	0.0288924	0.0301516	0.0291746	0.0274645
0.16	0.0294922	0.0283008	0.0318606	0.0307176	0.0297656	0.0281192	0.0302386	0.0290195	0.0290956	0.028613	0.0246084
0.17	0.0271912	0.026894	0.0296252	0.0283074	0.0310872	0.0287086	0.0293439	0.0297734	0.0310787	0.0286945	0.024701
0.18	0.0277767	0.0294035	0.0277674	0.0309962	0.0296408	0.0290551	0.0300937	0.0290089	0.0296453	0.0293861	0.026025
0.19	0.0272383	0.0318156	0.0282894	0.0305267	0.0267933	0.0299191	0.0256247	0.0281879	0.0299612	0.0263702	0.0257086
0.2	0.0278553	0.026749	0.0294055	0.0269575	0.0251293	0.0307082	0.0279053	0.0278955	0.0272867	0.0311401	0.0253391
0.21	0.0299896	0.0271353	0.0290719	0.0282532	0.0278924	0.0284111	0.0287939	0.0284359	0.031844	0.0266509	0.0257255
0.22	0.0273352	0.0283954	0.0274171	0.0249246	0.0258263	0.0265438	0.0285837	0.0277103	0.0274401	0.0299865	0.0318422
0.23	0.0275402	0.026504	0.0274305	0.0275582	0.0274262	0.0280443	0.0268302	0.0266241	0.0271422	0.0275398	0.039661
0.24	0.027104	0.0258497	0.0255574	0.0266872	0.0268269	0.0282346	0.0275826	0.0272237	0.0285734	0.0289258	0.0300279
0.25	0.0258298	0.0265779	0.0264254	0.0275953	0.0307839	0.025954	0.0273198	0.0271346	0.0272656	0.0296901	0.0276858
0.26	0.0285133	0.028024	0.029299	0.0282896	0.0253485	0.0273236	0.0281654	0.0284633	0.0280778	0.0288099	0.0296353
0.27	0.0261068	0.0255318	0.0269522	0.0273164	0.0261338	0.0262429	0.0262848	0.0298047	0.0259952	0.0282321	0.0271777
0.28	0.0250529	0.0269371	0.0248889	0.0298585	0.0269279	0.0265061	0.0267876	0.0287297	0.0266513	0.0293693	0.0269194
0.29	0.0255689	0.0249554	0.0258403	0.0265385	0.0285646	0.0305314	0.0291318	0.0271362	0.0289845	0.0269733	0.0252544
0.3	0.0269981	0.0304842	0.030292	0.0275726	0.0310167	0.0321564	0.0325815	0.0300346	0.0279086	0.0301039	0.0276063
0.31	0.0298716	0.0294749	0.0302194	0.0277567	0.0293342	0.0270262	0.0282401	0.029984	0.029971	0.0275938	0.0289644
0.32	0.0300272	0.0278474	0.0311462	0.0293921	0.0303678	0.0298638	0.0304069	0.0299884	0.0280018	0.0275347	0.0243276
0.33	0.0280759	0.0267372	0.029019	0.0291006	0.0292467	0.0307426	0.030899	0.0335993	0.0296787	0.0273787	0.0263845
