0	0.003562537	0.00836195	0.0101253	0.01379626	0.00836195	0.00932426	0.0123907	0.0250959	0.0265483
0.01	0.004370987	0.00836195	0.00932426	0.01442182	0.00836195	0.00997885	0.0135784	0.026355	0.0261235
0.02	0.005179437	0.0172507	0.0133597	0.016354	0.0172507	0.00739964	0.012351	0.0274645	0.0267202
0.03	0.005987887	0.00836195	0.00932426	0.01379626	0.00836195	0.00836195	0.00932426	0.0246084	0.0269395
0.04	0.006796337	0.00836195	0.00997885	0.01410904	0.00836195	0.00932426	0.00997885	0.0250959	0.026397
0.05	0.007604787	0.00938293	0.00739964	0.01442182	0.00938293	0.00997885	0.00938293	0.026355	0.0269297
0.06	0.00836195	0.00836195	0.00836195	0.0147346	0.00836195	0.00938293	0.01254514	0.0274645	0.027103
0.07	0.00932426	0.00932426	0.00932426	0.0147202	0.00932426	0.0253277	0.0131707	0.0246084	0.0277121
0.08	0.00997885	0.00997885	0.00997885	0.0155104	0.00997885	0.00938293	0.01379626	0.024701	0.0252294
0.09	0.00938293	0.00938293	0.00938293	0.016354	0.00938293	0.0101253	0.01442182	0.026025	0.0382652
0.1	0.0101253	0.0101253	0.0101253	0.0154816	0.0101253	0.0241214	0.016354	0.0257086	0.0321482
0.11	0.0111473	0.0101253	0.0101253	0.0167437	0.0101253	0.0237193	0.01379626	0.026025	0.0286803
0.12	0.0237409	0.0133597	0.0133597	0.0182324	0.0133597	0.0233172	0.01410904	0.0257086	0.0267585
0.13	0.0968627	0.0203434	0.0203434	0.0185927	0.0201741	0.0229151	0.01442182	0.0250959	0.0296831
0.14	0.0353237	0.0895853	0.0895853	0.0482796	0.0265059	0.022513	0.016781767	0.026355	0.0284621
0.15	0.0170653	0.0386155	0.0386155	0.0619241	0.0173907	0.0221109	0.0221109	0.0274645	0.0292304
0.16	0.0119541	0.0209805	0.0386155	0.0244762	0.0201741	0.0217088	0.0217088	0.0246084	0.0267544
0.17	0.00905459	0.0172507	0.0153339	0.0182249	0.0596057	0.0215448	0.0215448	0.024701	0.0257179
0.18	0.00903806	0.0125436	0.0157001	0.0166954	0.051762	0.0204284	0.0204284	0.026025	0.0271619
